experiment_id,preset_name,split,test_size,random_state,learning_rate,epoch,accuracy,precision_malignant,recall_malignant,f1_malignant,macro_f1,weighted_f1,train_samples,test_samples,train_features
106,RUN_3,split 60/40,0.4,7,0.001,75,0.486339,0.4,0.021505,0.040816,0.345035,0.340048,274,183,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
107,RUN_3,split 60/40,0.4,7,0.001,100,0.486339,0.4,0.021505,0.040816,0.345035,0.340048,274,183,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
108,RUN_1,split 80/20,0.2,10,0.01,25,0.48913,0.0,0.0,0.0,0.328467,0.321327,365,92,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
109,RUN_1,split 80/20,0.2,10,0.01,50,0.48913,0.0,0.0,0.0,0.328467,0.321327,365,92,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
110,RUN_1,split 80/20,0.2,10,0.01,75,0.48913,0.0,0.0,0.0,0.328467,0.321327,365,92,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
111,RUN_1,split 80/20,0.2,10,0.01,100,0.48913,0.0,0.0,0.0,0.328467,0.321327,365,92,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
112,RUN_1,split 80/20,0.2,10,0.05,25,0.826087,0.844444,0.808511,0.826087,0.826087,0.826087,365,92,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
113,RUN_1,split 80/20,0.2,10,0.05,50,0.663043,0.944444,0.361702,0.523077,0.631286,0.628934,365,92,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
114,RUN_1,split 80/20,0.2,10,0.05,75,0.826087,0.844444,0.808511,0.826087,0.826087,0.826087,365,92,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
115,RUN_1,split 80/20,0.2,10,0.05,100,0.913043,0.953488,0.87234,0.911111,0.913002,0.912961,365,92,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
116,RUN_1,split 80/20,0.2,10,0.001,25,0.826087,0.844444,0.808511,0.826087,0.826087,0.826087,365,92,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
117,RUN_1,split 80/20,0.2,10,0.001,50,0.48913,0.0,0.0,0.0,0.328467,0.321327,365,92,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
118,RUN_1,split 80/20,0.2,10,0.001,75,0.826087,0.844444,0.808511,0.826087,0.826087,0.826087,365,92,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
119,RUN_1,split 80/20,0.2,10,0.001,100,0.48913,0.0,0.0,0.0,0.328467,0.321327,365,92,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
120,RUN_2,split 70/30,0.3,10,0.01,25,0.898551,0.888889,0.914286,0.901408,0.898465,0.898508,319,138,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
121,RUN_2,split 70/30,0.3,10,0.01,50,0.898551,0.888889,0.914286,0.901408,0.898465,0.898508,319,138,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
122,RUN_2,split 70/30,0.3,10,0.01,75,0.405797,0.426829,0.5,0.460526,0.399618,0.400501,319,138,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
